Date,Species,GroupSize,TransectID,Year
2018-01-16,Impala,3,Sampu Enkare bushlands,2018
2018-01-16,Impala,1,Sampu Enkare bushlands,2018
2018-01-16,Impala,2,Sampu Enkare bushlands,2018
2018-01-16,Impala,1,Sampu Enkare bushlands,2018
2018-02-13,Impala,2,Sampu Enkare bushlands,2018
2018-02-13,Impala,10,Sampu Enkare bushlands,2018
2018-02-13,Impala,4,Sampu Enkare bushlands,2018
2018-02-13,Impala,1,Sampu Enkare bushlands,2018
2018-03-06,Impala,3,Sampu Enkare bushlands,2018
2018-03-06,Impala,1,Sampu Enkare bushlands,2018
2018-03-06,Impala,1,Sampu Enkare bushlands,2018
2018-03-06,Impala,1,Sampu Enkare bushlands,2018
2018-03-06,Impala,1,Sampu Enkare bushlands,2018
2018-03-06,Impala,2,Sampu Enkare bushlands,2018
2018-03-06,Impala,3,Sampu Enkare bushlands,2018
2018-03-06,Impala,21,Sampu Enkare bushlands,2018
2018-03-06,Impala,2,Sampu Enkare bushlands,2018
2018-03-06,Impala,1,Sampu Enkare bushlands,2018
2018-04-03,Impala,1,Sampu Enkare bushlands,2018
2018-04-03,Impala,1,Sampu Enkare bushlands,2018
2018-04-03,Impala,3,Sampu Enkare bushlands,2018
2018-04-03,Impala,80,Sampu Enkare bushlands,2018
2018-05-08,Impala,1,Sampu Enkare bushlands,2018
2018-05-08,Impala,3,Sampu Enkare bushlands,2018
2018-05-08,Impala,30,Sampu Enkare bushlands,2018
2018-05-08,Impala,1,Sampu Enkare bushlands,2018
2018-05-08,Impala,26,Sampu Enkare bushlands,2018
2018-05-08,Impala,1,Sampu Enkare bushlands,2018
2018-06-05,Impala,1,Sampu Enkare bushlands,2018
2018-06-05,Impala,5,Sampu Enkare bushlands,2018
2018-06-05,Impala,4,Sampu Enkare bushlands,2018
2018-06-19,Impala,1,Sampu Enkare bushlands,2018
2018-06-19,Impala,81,Sampu Enkare bushlands,2018
2018-06-19,Impala,1,Sampu Enkare bushlands,2018
2018-07-03,Impala,3,Sampu Enkare bushlands,2018
2018-08-02,Impala,2,Sampu Enkare bushlands,2018
2018-08-02,Impala,1,Sampu Enkare bushlands,2018
